obs_id,station_id,episode_id,x_m,y_m,inlet_height_m,site_type,interval_start_utc,interval_end_utc,no2_ug_m3,sigma_ug_m3
STA-E00-ST01-0,ST01,0,14000.0,118000.0,3.50,urban_traffic,1688457600,1688461200,1.3614,3.5529
STA-E00-ST01-1,ST01,0,14000.0,118000.0,3.50,urban_traffic,1688461200,1688464800,-6.0468,3.9245
STA-E00-ST01-2,ST01,0,14000.0,118000.0,3.50,urban_traffic,1688464800,1688468400,1.8637,3.1799
STA-E00-ST01-3,ST01,0,14000.0,118000.0,3.50,urban_traffic,1688468400,1688472000,-3.5680,3.9764
STA-E00-ST01-4,ST01,0,14000.0,118000.0,3.50,urban_traffic,1688472000,1688475600,-2.7588,3.9311
STA-E00-ST01-5,ST01,0,14000.0,118000.0,3.50,urban_traffic,1688475600,1688479200,12.8270,3.5181
STA-E00-ST02-0,ST02,0,121500.0,101000.0,4.00,urban_background,1688457600,1688461200,6.6845,2.9749
STA-E00-ST02-1,ST02,0,121500.0,101000.0,4.00,urban_background,1688461200,1688464800,8.0922,3.1759
STA-E00-ST02-2,ST02,0,121500.0,101000.0,4.00,urban_background,1688464800,1688468400,6.5952,2.5593
STA-E00-ST02-3,ST02,0,121500.0,101000.0,4.00,urban_background,1688468400,1688472000,4.8463,2.9891
STA-E00-ST02-4,ST02,0,121500.0,101000.0,4.00,urban_background,1688472000,1688475600,1.8367,3.1775
STA-E00-ST02-5,ST02,0,121500.0,101000.0,4.00,urban_background,1688475600,1688479200,4.2670,2.8018
STA-E00-ST03-0,ST03,0,104000.0,88000.0,3.00,urban_traffic,1688457600,1688461200,2.1793,2.8577
STA-E00-ST03-1,ST03,0,104000.0,88000.0,3.00,urban_traffic,1688461200,1688464800,4.0018,2.4327
STA-E00-ST03-2,ST03,0,104000.0,88000.0,3.00,urban_traffic,1688464800,1688468400,1.3554,2.4344
STA-E00-ST03-3,ST03,0,104000.0,88000.0,3.00,urban_traffic,1688468400,1688472000,4.0069,2.7672
STA-E00-ST03-4,ST03,0,104000.0,88000.0,3.00,urban_traffic,1688472000,1688475600,-1.9749,2.8748
STA-E00-ST03-5,ST03,0,104000.0,88000.0,3.00,urban_traffic,1688475600,1688479200,2.0886,2.2987
STA-E00-ST04-0,ST04,0,66000.0,132000.0,5.50,suburban_industrial,1688457600,1688461200,0.0598,3.5296
STA-E00-ST04-1,ST04,0,66000.0,132000.0,5.50,suburban_industrial,1688461200,1688464800,1.1794,2.7336
